Cust No.,First Name,Surname,Credit Score,Geography,Gender,Age,Tenure,Balance,Num Of Policies,Credit Card,Active Member,Salary,Exited
1714,Alissa,Davis,634,France,Male,44,9,149961.11,1,Yes,No,57122,0
1715,Cherry,Milano,730,Germany,Male,45,6,152880.97,1,No,No,162478,0
1716,Adele,Dellucci,685,Germany,Male,43,9,108589.47,2,No,Yes,194809,0
1717,Vanessa,Coles,809,Spain,Male,33,9,,1,Yes,Yes,124046,0
1718,Leonardo,Gray,707,Spain,Female,35,3,56674.48,1,Yes,No,17987,1
1719,Daryl,Macvitie,648,Spain,Male,32,8,,1,Yes,No,133653,0
1720,Fiona,Townsend,760,Spain,Female,57,1,,2,Yes,Yes,25101,0
1721,Melissa,Pope,805,Germany,Female,33,3,105663.56,2,No,Yes,33331,0
1722,Kellan,Jensen,585,France,Female,39,7,,2,Yes,No,2401,0
1723,Carl,Thomson,595,Spain,Female,30,5,100683.54,1,Yes,Yes,178361,0
1724,Kate,Chiazagomekpele,630,France,Male,42,6,,2,Yes,No,162698,0
1725,Chelsea,Ozuluonye,627,Germany,Male,29,5,139541.58,2,Yes,No,80607,0
1726,Carlos,Wright,631,Germany,Female,37,2,121801.72,2,No,Yes,23147,0
1727,Michelle,Lung,776,Germany,Male,38,5,112281.7,1,No,Yes,89894,0
1728,Dale,Lombardo,676,Spain,Female,36,4,,2,Yes,Yes,3173,0
1729,Arianna,Leonard,758,Spain,Female,40,5,93499.82,2,No,No,123219,0
1730,Jasmine,Johnston,637,France,Male,33,0,132255.99,2,No,Yes,74588,0
1731,Dexter,P'eng,850,France,Male,20,7,,2,Yes,No,31289,0
1732,Carl,Amechi,601,Spain,Female,44,4,,2,Yes,No,58561,0
1733,Adrian,Fang,735,France,Male,49,5,121973.28,1,Yes,No,148804,0
1734,Aida,Docherty,614,Germany,Male,32,7,99462.8,2,Yes,Yes,51117,0
1735,Anna,Horton,672,Germany,Female,21,3,165878.76,2,Yes,Yes,164537,0
1736,Heather,Vincent,642,France,Male,30,8,117494.27,1,No,No,61978,0
1737,Ted,Onio,633,Germany,Female,29,0,138577.34,1,Yes,No,193363,0
1738,Stella,Schiavone,769,Spain,Male,39,9,,1,Yes,Yes,47723,0
1739,Arthur,Chandler,796,Spain,Male,41,8,107525.07,1,Yes,No,18510,0
1740,Lucia,Fiorentino,715,France,Male,23,7,139224.92,2,Yes,No,65058,0
1741,Robert,Butusov,695,France,Female,42,7,121453.63,1,No,No,46375,0
1742,Victoria,Wang,747,France,Female,25,4,,2,No,Yes,42040,0
1743,Adison,Alexeieva,584,Germany,Female,54,1,77354.37,1,No,No,138193,1
1744,Alissa,Vinogradova,476,France,Male,40,6,,1,Yes,Yes,22735,0
1745,Cherry,Hughes,850,France,Female,39,7,79259.99,1,No,Yes,186911,0
1746,Adele,Ts'ao,529,France,Male,30,2,116295.29,1,Yes,No,75285,0
1747,Vanessa,Bage,584,Spain,Female,59,1,,1,No,Yes,130260,1
1748,Leonardo,Yudina,586,Germany,Male,34,9,74309.81,1,Yes,No,15035,0
1749,Daryl,Naquin,674,Germany,Male,34,2,152797.9,1,Yes,No,175709,1
1750,Fiona,Endrizzi,552,France,Male,42,9,133701.07,2,Yes,No,101070,1
1751,Melissa,Tang,601,Germany,Female,33,7,114430.18,2,Yes,Yes,153012,0
1752,Kellan,Schroeder,541,France,Male,29,7,127504.57,1,No,No,86174,0
1753,Carl,Swearingen,744,Germany,Female,41,2,84113.41,1,Yes,No,197549,0
1754,Kate,McGregor,595,Spain,Female,23,10,101126.66,2,No,No,37043,0
1755,Chelsea,Onyeorulu,724,Germany,Male,33,5,103564.83,2,Yes,No,121086,0
1756,Carlos,Clarke,533,Spain,Female,52,7,,1,No,Yes,194114,1
1757,Michelle,Smith,618,France,Male,37,2,168178.21,2,No,Yes,101273,0
1758,Dale,Kozlova,523,Germany,Female,39,1,143903.11,1,Yes,Yes,118712,1
1759,Arianna,Nekrasov,642,Germany,Female,30,5,129753.69,1,Yes,No,583,0
1760,Jasmine,Olague,584,France,Male,35,9,,2,Yes,No,192381,0
1761,Dexter,Holt,521,France,Male,38,5,110641.18,1,No,Yes,136508,1
1762,Carl,Olsen,662,France,Female,36,4,166909.2,2,Yes,No,138871,1
1763,Adrian,Mazzi,758,France,Female,34,1,154139.45,1,Yes,Yes,60729,0
1764,Aida,Niu,717,France,Male,38,7,97459.06,1,No,No,189176,0
1765,Anna,Graham,611,France,Male,40,1,,2,Yes,Yes,102548,0
1766,Heather,Millar,766,Germany,Male,43,6,112088.04,2,Yes,Yes,36707,0
1767,Ted,Bell,636,France,Female,34,3,,2,Yes,Yes,44756,0
1768,Dexter,Kelly,814,France,Female,48,7,,2,Yes,Yes,132870,0
1769,Carl,T'an,760,Spain,Male,28,1,141038.57,2,No,No,16287,0
1770,Adrian,Davila,607,Germany,Male,39,2,84468.67,2,Yes,Yes,121945,0
1771,Aida,Willis,725,Spain,Female,36,4,118520.26,1,No,No,131174,1
1772,Anna,Dumetochukwu,600,France,Male,37,1,142663.46,1,No,Yes,88670,0
1773,Heather,Giles,656,Germany,Male,27,4,118627.16,2,Yes,Yes,160835,0
1774,Ted,O'Meara,640,Spain,Male,34,1,137523.02,1,No,No,24761,0
1775,Stella,Yao,439,France,Male,28,7,110976.23,2,Yes,No,138527,0
1776,Arthur,Wallace,549,France,Female,38,8,107283.4,1,No,No,157443,0
1777,Lucia,T'ien,622,France,Male,38,5,,2,No,No,105296,0
1778,Robert,Ndubueze,715,France,Male,34,4,124314.45,1,No,No,97783,0
1779,Victoria,Chukwuraenye,657,France,Female,41,5,95858.37,1,Yes,Yes,68256,0
1780,Adison,K'ung,703,France,Male,36,2,,2,Yes,No,108791,0
1781,Alissa,Stevenson,802,France,Male,33,8,,2,Yes,No,143706,0
1782,Cherry,Marshall,793,Spain,Female,36,0,,1,No,No,148993,0
1783,Adele,Hayward,554,France,Female,35,6,117707.18,2,No,No,95277,1
1784,Vanessa,Tipton,533,Spain,Male,38,1,135289.33,2,No,Yes,152956,0
1785,Leonardo,Gibson,658,France,Male,36,8,174060.46,1,Yes,Yes,94926,0
1786,Daryl,Fraser,713,Germany,Male,40,3,114446.84,2,Yes,Yes,87308,0
1787,Fiona,Fang,711,Spain,Male,37,2,,2,Yes,No,83979,1
1788,Melissa,Dubinina,669,France,Male,25,1,157848.53,1,No,No,37544,1
1789,Kellan,Morey,439,France,Female,43,8,,1,No,Yes,104889,0
1790,Carl,Todd,763,Spain,Female,37,6,,2,Yes,Yes,149705,0
1791,Kate,Forbes,697,Germany,Female,74,3,108071.36,2,Yes,Yes,16446,0
1792,Chelsea,De Salis,702,Spain,Female,35,8,14262.8,2,Yes,No,54689,0
1793,Carlos,Barry,686,Spain,Male,41,7,102749.72,1,No,Yes,194914,0
1794,Michelle,Afamefuna,629,Spain,Male,36,1,161757.87,2,Yes,Yes,146372,0
1795,Dale,Ibbott,823,France,Male,38,1,,2,Yes,No,156604,0
1796,Arianna,Marshall,683,Germany,Female,35,5,95698.79,1,No,Yes,182567,0
1797,Jasmine,Law,555,France,Male,37,9,124969.13,1,Yes,No,60194,0
1798,Dexter,Pinto,647,Germany,Male,44,4,93960.35,1,Yes,No,36580,1
1799,Carl,Chinedum,714,France,Female,51,4,88308.87,3,No,No,5863,1
1800,Adrian,McKay,850,Spain,Female,39,10,,2,Yes,Yes,143030,0
1801,Aida,Otutodilinna,713,France,Female,59,3,,2,Yes,Yes,62700,0
1802,Anna,She,452,France,Male,30,7,112935.87,1,Yes,Yes,99017,0
1803,Heather,Pai,683,Spain,Female,24,8,98567.1,1,Yes,No,187987,0
1804,Ted,Kruglov,577,France,Female,26,1,180530.51,1,No,No,123455,0
1805,Stella,Chin,552,France,Male,33,5,140931.57,1,No,Yes,10922,0
1806,Arthur,King,769,Germany,Female,31,7,148913.72,2,Yes,No,53817,0
1807,Lucia,Hansen,691,France,Male,38,7,,2,No,No,81617,0
1808,Robert,Ting,818,France,Female,49,2,,1,No,Yes,192299,1
1809,Victoria,Stone,739,France,Male,41,5,,2,No,No,143882,0
1810,Adison,McLean,639,France,Female,50,6,115335.32,2,Yes,Yes,53130,0
1811,Alissa,Zikoranachidimma,651,France,Female,65,0,,2,Yes,Yes,190454,0
1812,Cherry,Fu,779,France,Female,26,0,,2,No,Yes,111906,0
1813,Adele,Trevisano,850,Germany,Female,33,7,134678.13,1,Yes,No,113178,0
1814,Vanessa,Fallaci,829,France,Male,38,9,,2,Yes,No,30530,0
1815,Leonardo,Wiley,579,Germany,Male,31,2,90547.48,2,Yes,Yes,18800,0
1816,Daryl,Chiagoziem,510,France,Male,32,9,103324.78,1,Yes,Yes,46128,0
1817,Fiona,Murray,531,France,Male,29,3,114590.58,1,No,No,75585,0
1818,Melissa,Chuang,628,Germany,Female,36,3,91286.51,1,Yes,No,63086,0
1819,Kellan,Huang,633,Spain,Male,32,5,163340.12,2,Yes,Yes,74415,0
1820,Carl,Chukwukere,714,Spain,Male,45,8,150900.29,2,No,Yes,139889,0
1821,Kate,Hsia,604,Spain,Male,23,9,124577.33,1,Yes,Yes,7267,0
1822,Chelsea,Lee,630,Spain,Male,35,1,,2,No,No,186826,0
1823,Carlos,Theus,850,Spain,Female,31,4,91292.7,1,Yes,Yes,162149,0
1824,Michelle,Jennings,788,Germany,Female,57,8,93716.72,1,Yes,Yes,180150,1
1825,Dale,Parker,798,France,Female,37,4,111723.08,1,Yes,Yes,83478,0
1826,Arianna,Tan,770,Germany,Male,45,4,110765.68,1,Yes,No,26164,1
1827,Jasmine,Barry,569,Germany,Male,25,9,173459.45,2,Yes,Yes,44381,0
1828,Dexter,Tuan,425,Spain,Female,22,7,169649.73,2,No,Yes,136365,1
1829,Carl,Patterson,547,Spain,Female,31,9,,2,No,No,99294,0
1830,Adrian,Ofodile,725,Germany,Male,45,8,116917.07,1,No,No,173464,1
1831,Aida,Chandler,506,France,Male,37,5,,2,Yes,Yes,127544,0
1832,Anna,Nash,632,France,Female,36,7,,2,Yes,Yes,52527,0
1833,Heather,Atkinson,620,France,Male,22,0,,1,Yes,No,32589,0
1834,Ted,Brenan,663,Germany,Male,32,8,130627.66,1,Yes,No,47161,1
1835,Dexter,Obidimkpa,700,Spain,Female,46,5,56580.95,2,No,Yes,45424,0
1836,Carl,Terry,696,Germany,Male,38,6,142316.14,1,Yes,Yes,8018,0
1837,Adrian,Spring,767,Spain,Male,31,6,,2,Yes,Yes,195668,0
1838,Aida,Mahmood,561,France,Male,56,7,152759,2,Yes,No,133167,1
1839,Anna,Campbell,350,Germany,Male,39,0,109733.2,2,No,No,123602,1
1840,Heather,Bellucci,706,France,Male,54,9,117444.51,1,Yes,Yes,186239,0
1841,Ted,Amaechi,464,Spain,Female,34,5,76001.57,1,Yes,Yes,158669,0
1842,Stella,Foxall,501,France,Female,34,3,107747.57,1,Yes,No,9249,0
1843,Arthur,Bentley,745,Spain,Female,35,8,,2,Yes,Yes,116581,0
1844,Lucia,Baird,587,France,Female,36,1,134997.49,2,Yes,No,44688,0
1845,Robert,Howard,667,France,Female,48,2,,2,Yes,Yes,148608,0
1846,Victoria,Henry,737,France,Male,36,9,,1,No,Yes,188671,1
1847,Adison,Sopuluchukwu,485,Spain,Female,30,7,,1,Yes,No,107067,0
1848,Alissa,Rocher,590,Spain,Female,37,0,64345.21,1,No,Yes,61759,1
1849,Cherry,White,518,Germany,Female,35,8,141665.63,1,No,Yes,192777,0
1850,Adele,Komar,581,Spain,Female,29,8,,2,Yes,No,46735,0
1851,Vanessa,Russo,785,Germany,Female,33,5,136624.6,2,Yes,Yes,169118,0
1852,Leonardo,Loewenthal,799,France,Female,52,4,161209.66,1,Yes,Yes,89081,0
1853,Daryl,Aliyeva,698,Spain,Male,38,10,95010.92,1,Yes,Yes,105228,0
1854,Fiona,Montes,730,France,Female,41,4,167545.32,1,Yes,No,128247,0
1855,Melissa,Kuo,740,Germany,Female,36,4,109044.6,1,No,No,94555,1
1856,Kellan,Cheng,785,France,Female,47,9,122031.55,1,Yes,Yes,33824,1
1857,Carl,McIntosh,527,Spain,Female,29,2,27755.97,1,Yes,No,97468,1
1858,Kate,T'ao,544,France,Female,29,1,118560.55,1,Yes,Yes,164137,0
1859,Chelsea,Tyndall,705,France,Male,61,4,,2,Yes,Yes,191314,0
1860,Carlos,Bailey,684,France,Male,34,9,,2,Yes,Yes,65258,0
1861,Michelle,Onyekaozulu,639,Spain,Female,28,8,97840.72,1,Yes,Yes,178223,0
1862,Dale,Nwachukwu,565,Germany,Female,38,2,158651.29,2,Yes,Yes,179445,0
1863,Arianna,Romani,481,France,Male,44,9,175303.06,1,Yes,No,65501,1
1864,Jasmine,Chin,731,Spain,Male,25,8,96950.21,1,Yes,No,97878,0
1865,Dexter,Bellucci,607,France,Male,45,7,123859.6,1,No,Yes,113052,0
1866,Carl,Christmas,760,France,Female,32,7,,2,Yes,Yes,105969,0
1867,Adrian,Moore,559,France,Female,70,9,,1,Yes,Yes,122997,0
1868,Aida,Genovesi,715,France,Female,33,3,85227.84,1,Yes,Yes,68087,0
1869,Anna,Cartwright,656,France,Male,36,8,97786.08,2,No,Yes,21478,0
1870,Heather,Johnstone,652,Germany,Male,33,7,128135.99,1,Yes,No,158438,0
1871,Ted,Warner,624,Spain,Male,33,6,,2,No,No,76552,0
1872,Stella,Stephenson,634,Spain,Male,36,2,85996.19,1,Yes,No,15888,0
1873,Arthur,Ellis,850,Spain,Female,50,10,,2,Yes,Yes,33742,0
1874,Lucia,Nebechi,659,Germany,Female,39,1,104502.11,1,Yes,No,20653,0
1875,Robert,Chu,529,Spain,Male,35,5,95772.97,1,Yes,Yes,112782,0
1876,Victoria,Onuchukwu,572,Spain,Male,31,5,98108.79,1,No,Yes,119997,0
1877,Adison,Steele,640,Germany,Male,39,9,131607.28,4,No,Yes,6981,1
1878,Alissa,Quaife,770,Spain,Male,55,9,63127.41,2,Yes,No,185211,1
1879,Cherry,Scott,648,Spain,Male,35,7,,2,Yes,Yes,78436,0
1880,Adele,Yeh,579,France,Male,31,9,,1,No,Yes,139048,0
1881,Vanessa,Y?,589,Germany,Female,36,9,140355.56,2,Yes,No,136330,0
1882,Leonardo,Conti,530,Spain,Female,36,2,,2,Yes,Yes,14722,0
1883,Daryl,Holder,831,France,Male,30,2,,2,No,Yes,3430,0
1884,Fiona,Burgess,790,Germany,Male,24,7,107418.27,1,No,Yes,160450,0
1885,Melissa,Ozuluonye,656,France,Male,35,6,,2,Yes,No,1485,0
1886,Kellan,De Luca,563,Spain,Male,32,6,,2,Yes,Yes,19720,0
1887,Carl,Li Fonti,667,Spain,Male,39,7,167557.12,1,Yes,Yes,41183,0
1888,Kate,Freeman,613,Spain,Male,34,8,117300.02,1,Yes,No,139410,0
1889,Chelsea,Pisani,429,France,Male,60,7,,2,Yes,Yes,163691,0
1890,Carlos,Ignatieff,665,France,Female,23,9,143672.9,1,Yes,Yes,115147,0
1891,Michelle,Lahti,731,France,Male,33,4,,2,Yes,Yes,74945,0
1892,Dale,Perkins,584,France,Female,37,1,,2,Yes,Yes,180364,0
1893,Arianna,Conway,634,Germany,Female,31,8,76798.92,1,No,No,196022,0
1894,Jasmine,Hayes,488,France,Male,34,3,,2,Yes,Yes,125979,0
1895,Dexter,Rizzo,535,Spain,Female,49,7,115309.75,1,Yes,No,111422,0
1896,Carl,Krylov,776,France,Female,29,7,178171.04,2,Yes,Yes,115819,0
1897,Adrian,Li Fonti,850,Spain,Female,38,3,,2,No,Yes,179361,0
1898,Aida,Talbot,673,Spain,Female,37,0,,2,No,No,82351,0
1899,Anna,Matthias,850,Germany,Female,45,5,127258.79,1,Yes,Yes,192744,1
1900,Heather,Boyle,627,Spain,Female,30,6,,1,Yes,Yes,113408,0
1901,Ted,Ch'eng,570,France,Female,33,8,,1,Yes,Yes,124641,0
1902,Dexter,Mason,796,Spain,Male,67,5,,2,No,Yes,54871,0
1903,Carl,Bruno,773,Spain,Female,33,10,,1,Yes,Yes,98820,0
1904,Adrian,Smeaton,752,Spain,Male,36,2,,2,Yes,Yes,45571,0
1905,Aida,Miller,625,Spain,Female,69,1,107569.96,1,Yes,Yes,182336,0
1906,Anna,Gotch,535,Germany,Male,20,9,134874.4,1,Yes,Yes,118826,0
1907,Heather,Fu,786,France,Female,29,4,,2,Yes,No,103373,0
1908,Ted,O'Toole,620,France,Female,67,3,,2,Yes,Yes,43487,0
1909,Stella,Ledford,605,Spain,Female,48,6,,2,Yes,Yes,40063,0
1910,Arthur,Iadanza,670,Spain,Female,32,3,,2,Yes,No,46176,0
1911,Lucia,Alaniz,617,Spain,Male,42,0,70105.87,1,Yes,Yes,120831,0
1912,Robert,Saunders,595,France,Male,41,9,,2,Yes,No,5967,0
1913,Victoria,Lin,687,Germany,Female,29,4,78939.15,1,Yes,No,122135,1
1914,Adison,Pinto,757,Germany,Male,30,6,105128.85,2,Yes,Yes,62972,0
1915,Alissa,Streeter,746,Spain,Male,31,2,113836.27,1,Yes,Yes,174816,0
1916,Cherry,Shaw,503,Spain,Male,25,7,,1,No,Yes,192841,0
1917,Adele,Chen,543,Germany,Male,48,1,100900.5,1,No,No,33311,1
1918,Vanessa,Barclay,428,Germany,Female,40,3,129248.11,2,Yes,No,72876,1
1919,Leonardo,Kodilinyechukwu,768,France,Female,28,3,109118.05,2,No,Yes,50911,0
1920,Daryl,Otitodilichukwu,618,France,Male,56,7,,1,Yes,Yes,142400,1
1921,Fiona,McKenzie,591,France,Female,31,7,,2,No,Yes,48778,0
1922,Melissa,Woods,658,France,Female,35,5,126397.66,1,No,No,156362,1
1923,Kellan,Hsing,625,France,Male,36,9,108546.16,3,Yes,No,133808,1
1924,Carl,Wheare,717,France,Male,36,2,148061.89,1,Yes,No,179129,1
1925,Kate,Yobachi,667,France,Male,44,8,122277.87,1,Yes,Yes,91811,0
1926,Chelsea,Fang,804,France,Male,24,3,,2,Yes,No,173195,0
1927,Carlos,Pearson,693,France,Male,31,1,,2,No,Yes,182271,0
1928,Michelle,Brown,729,Germany,Male,36,8,152899.24,2,Yes,No,177130,0
1929,Dale,L?,484,Germany,Male,54,3,134388.11,1,No,No,49955,1
1930,Arianna,Padovesi,632,Spain,Female,40,3,109740.62,1,Yes,No,141897,0
1931,Jasmine,Soto,536,Germany,Male,23,6,92366.72,2,Yes,No,120662,0
1932,Dexter,Greco,573,France,Female,26,4,129109.02,1,No,No,149815,1
1933,Carl,Giordano,655,Spain,Female,56,5,,2,Yes,Yes,41783,0
1934,Adrian,Bogle,666,Germany,Male,74,7,105102.5,1,Yes,Yes,46172,0
1935,Aida,Grimmett,726,Germany,Male,30,5,111375.32,2,Yes,No,2704,0
1936,Anna,Ayers,523,France,Male,39,3,,2,Yes,No,6727,0
1937,Heather,Miller,728,Germany,Female,33,9,150412.14,2,Yes,No,170764,0
1938,Ted,Webb,701,France,Male,30,3,156660.72,2,Yes,No,45742,0
1939,Stella,Lombardi,518,France,Male,38,3,90957.81,1,No,Yes,162305,0
1940,Arthur,Wei,739,France,Male,37,7,104960.46,1,No,Yes,80884,0
1941,Lucia,Ross,531,Germany,Female,31,7,117052.82,1,Yes,No,118508,1
1942,Robert,Jideofor,452,Spain,Male,44,3,88915.85,1,Yes,No,69698,0
1943,Victoria,King,684,France,Male,45,6,148071.39,1,Yes,No,183575,0
1944,Adison,Nwokeocha,728,Germany,Male,39,6,152182.83,1,No,No,161204,0
1945,Alissa,Humphries,783,Spain,Male,39,9,,2,Yes,No,143753,0
1946,Cherry,Olisaemeka,734,France,Male,22,5,130056.23,1,No,No,121894,1
1947,Adele,Yobanna,648,Germany,Male,34,3,95039.73,2,Yes,Yes,147056,0
1948,Vanessa,Ch'iu,688,France,Male,52,1,,2,Yes,Yes,172034,0
1949,Leonardo,Fleming,680,Spain,Male,35,9,,2,No,No,143774,0
1950,Daryl,Trevisan,516,France,Female,43,2,112773.73,2,Yes,Yes,139367,0
1951,Fiona,Aleksandrova,680,France,Female,37,10,123806.28,1,Yes,No,81777,1
1952,Melissa,Onwuamaeze,604,France,Male,53,8,144453.75,1,Yes,No,190999,1
1953,Kellan,Knox,624,Germany,Male,27,9,94667.29,2,No,Yes,4471,0
1954,Carl,Chia,623,France,Male,21,10,,2,No,Yes,135851,0
1955,Kate,Townsend,624,Spain,Male,51,5,174397.21,2,Yes,Yes,172373,0
1956,Chelsea,Dike,565,Germany,Female,58,3,108888.24,3,No,Yes,135876,1
1957,Carlos,Moyes,565,France,Male,55,4,118803.35,2,Yes,Yes,128125,1
1958,Michelle,Beavers,710,France,Male,54,6,171137.62,1,Yes,Yes,167024,1
1959,Dale,Tretiakova,645,France,Male,42,6,,1,No,No,149807,0
1960,Arianna,Fuller,707,France,Male,33,8,136678.52,1,Yes,No,54291,0
1961,Jasmine,Dellucci,655,Spain,Female,36,1,135515.76,1,Yes,No,86014,0
1962,Dexter,Ritchie,705,Spain,Female,24,5,177799.83,2,No,No,79886,0
1963,Carl,Aikenhead,358,Spain,Female,52,8,143542.36,3,Yes,No,141959,1
1964,Adrian,Douglas,578,Germany,Male,34,8,147487.23,2,Yes,No,66681,0
1965,Aida,Kung,800,France,Female,40,5,97764.41,1,Yes,No,98640,1
1966,Anna,MacDonald,612,France,Female,33,9,,1,No,No,142798,1
1967,Heather,Okwudilichukwu,681,Germany,Female,48,8,139480.18,1,Yes,Yes,163582,0
1968,Ted,Ni,559,Spain,Male,25,5,,2,Yes,Yes,163221,0
1969,Dexter,Simmons,488,Spain,Female,39,9,140553.46,1,No,No,12440,0
1970,Carl,H?,717,France,Female,36,5,,2,Yes,Yes,145552,0
1971,Adrian,Hancock,666,France,Female,41,10,141162.08,1,Yes,No,50908,0
1972,Aida,Cran,582,Spain,Male,26,4,65848.36,2,Yes,No,30149,0
1973,Anna,McKay,733,Spain,Female,30,0,83319.28,1,No,No,57769,0
1974,Heather,P'an,693,France,Male,41,4,,2,No,No,156381,0
1975,Ted,Parkhill,694,France,Female,33,4,129731.64,2,Yes,No,178124,0
1976,Stella,Golubova,622,France,Female,35,5,,2,Yes,No,51113,0
1977,Arthur,Nwankwo,598,Spain,Female,38,6,,2,No,No,173783,0
1978,Lucia,Johnson,717,Spain,Male,35,1,,3,No,No,174770,1
1979,Robert,Mao,494,Germany,Male,37,5,107106.33,2,Yes,No,172063,0
1980,Victoria,Echezonachukwu,644,France,Male,33,8,,2,Yes,Yes,155294,0
1981,Adison,McElyea,554,France,Female,30,9,,2,Yes,Yes,40320,0
1982,Alissa,Rosas,476,Spain,Female,69,1,105303.73,1,No,Yes,134260,0
1983,Cherry,Phillips,667,France,Male,28,6,165798.1,1,Yes,No,147091,0
1984,Adele,Palerma,748,Spain,Female,40,4,,2,Yes,No,132368,0
1985,Vanessa,Morris,531,Spain,Female,45,1,126495.57,2,Yes,Yes,164742,0
1986,Leonardo,Pavlova,719,Spain,Female,47,9,116393.59,1,Yes,No,63051,1
1987,Daryl,Lu,845,Germany,Female,41,2,81733.74,2,No,No,199761,0
1988,Fiona,Yamamoto,738,France,Male,54,4,,1,No,Yes,55725,1
1989,Melissa,Angelo,563,Spain,Female,46,8,106171.68,1,Yes,No,163146,1
1990,Kellan,Zaitsev,695,Spain,Male,28,0,96020.86,1,Yes,Yes,57992,0
1991,Carl,Cawker,841,Spain,Male,41,1,,2,No,Yes,193094,0
1992,Kate,Froggatt,626,Germany,Male,36,2,181671.16,2,Yes,Yes,57531,0
1993,Chelsea,Gorbunov,613,France,Female,29,6,185709.28,2,Yes,Yes,77242,0
1994,Carlos,Tai,824,Germany,Male,60,8,134250.17,3,No,No,153046,1
1995,Michelle,Rowe,705,France,Female,49,7,,1,Yes,No,63405,1
1996,Dale,Mikkelsen,584,France,Female,44,5,95671.75,2,Yes,Yes,106565,0
1997,Arianna,Kovalyov,534,France,Male,62,2,,2,No,No,42763,1
1998,Jasmine,Mbanefo,672,France,Female,34,1,142151.75,2,Yes,Yes,168753,0
1999,Dexter,Ts'ai,603,France,Male,43,5,127823.93,1,Yes,Yes,19483,0
2000,Carl,Enderby,633,Germany,Male,43,3,144164.29,1,Yes,Yes,158646,0
2001,Adrian,Lombardi,842,France,Male,58,1,63492.94,1,Yes,Yes,83172,0
2002,Aida,Hamilton,661,France,Female,27,3,,2,Yes,Yes,76890,0
2003,Anna,Hsia,601,France,Male,74,2,,2,No,Yes,51555,0
2004,Heather,Mao,632,France,Male,41,0,106134.46,1,No,Yes,105570,0
2005,Ted,Ugochukwu,684,Germany,Male,29,8,127269.75,1,No,Yes,79495,0
2006,Stella,West,785,Germany,Female,32,3,124493.03,2,No,Yes,52584,1
2007,Arthur,Hughes,687,France,Male,39,7,,2,Yes,No,26848,0
2008,Lucia,Chukwuemeka,705,Germany,Female,43,10,146547.78,1,No,Yes,10073,1
2009,Robert,Lira,639,France,Male,43,6,99610.92,2,Yes,No,187297,0
2010,Victoria,Li,729,Germany,Male,46,5,117837.43,1,Yes,No,104017,1
2011,Adison,Castiglione,556,Spain,Female,48,8,168522.37,1,Yes,Yes,151310,0
2012,Alissa,Paterson,570,France,Male,32,9,117337.54,2,No,Yes,62811,0
2013,Cherry,Blair,841,France,Male,74,9,108131.53,1,No,Yes,60830,0
2014,Adele,Dellucci,705,Germany,Male,35,4,136496.12,2,Yes,No,116672,0
2015,Vanessa,Udinesi,553,France,Male,32,3,116324.53,1,Yes,No,77304,0
2016,Leonardo,Yuan,779,Germany,Female,40,2,75470.23,1,Yes,Yes,52894,0
2017,Daryl,Yuryeva,696,France,Male,28,4,172646.82,1,Yes,Yes,116471,0
2018,Fiona,Wilson,728,Spain,Female,37,4,,1,No,No,4539,0
2019,Melissa,Dean,691,Germany,Male,27,3,160358.68,2,Yes,No,142368,0
2020,Kellan,Ross,706,France,Male,30,3,98415.37,1,Yes,Yes,110520,0
2021,Carl,Kent,627,Germany,Female,30,6,57809.32,1,Yes,No,188258,0
2022,Kate,Vasiliev,716,Germany,Female,18,3,128743.8,1,No,No,197322,0
2023,Chelsea,Golibe,501,Germany,Male,24,4,130806.42,2,Yes,No,80241,0
2024,Carlos,Chukwukere,601,France,Male,41,1,123971.16,1,No,Yes,172815,0
2025,Michelle,Fedorova,545,Spain,Female,39,6,,1,No,No,38411,1
2026,Dale,Chien,634,France,Male,45,9,,2,No,No,17623,0
2027,Arianna,Rossi,451,Spain,Female,23,9,,2,No,Yes,48022,0
2028,Jasmine,Samson,655,France,Female,59,7,,1,Yes,No,88958,1
2029,Dexter,Fenton,458,France,Female,39,9,,2,Yes,No,116343,0
2030,Carl,Mackey,520,France,Male,33,4,156297.58,2,Yes,Yes,166103,0
2031,Adrian,Payton,624,Spain,Female,28,2,,2,No,Yes,104353,0
2032,Aida,Cowger,765,France,Male,51,3,123372.3,1,Yes,Yes,115429,0
2033,Anna,Banks,667,Germany,Female,37,5,92171.35,3,Yes,No,178106,1
2034,Heather,Pugliesi,665,Spain,Male,41,8,,2,Yes,No,132152,0
2035,Ted,Fantin,709,Germany,Male,34,4,148375.19,2,Yes,Yes,21521,0
2036,Dexter,Bentley,583,France,Female,44,8,,2,Yes,Yes,27432,0
2037,Carl,Freeman,782,Spain,Male,34,6,147422.44,1,No,Yes,42144,0
2038,Adrian,Wong,668,Spain,Female,24,7,173962.32,1,No,No,106457,1
2039,Aida,Onwuamaeze,621,France,Male,47,0,,1,Yes,Yes,133831,1
2040,Anna,Shen,579,Germany,Female,64,6,145215.43,1,Yes,Yes,164084,0
2041,Heather,Huang,547,France,Female,38,5,167539.97,1,No,Yes,159207,0
2042,Ted,Yeh,840,France,Female,39,1,94968.97,1,Yes,No,84488,0
2043,Stella,Shih,667,Germany,Female,27,3,106116.5,2,Yes,No,3675,0
2044,Arthur,Henderson,723,France,Male,34,5,,2,No,Yes,12092,0
